dice_id,face,adjacent_1,adjacent_2,adjacent_3,opposite,face_pair
16,4,18,11,14,17,4:17
16,5,18,15,13,16,5:16
16,6,9,16,14,15,6:15
16,7,15,17,1,14,7:14
16,8,10,20,16,13,8:13
16,9,6,11,19,12,9:12
16,10,17,12,8,11,10:11
16,11,9,4,13,10,10:11
16,12,10,15,2,9,9:12
16,13,11,5,1,8,8:13
16,14,4,6,20,7,7:14
16,15,5,12,7,6,6:15
16,16,6,3,8,5,5:16
16,17,10,3,7,4,4:17
16,18,5,4,2,3,3:18
16,19,3,9,1,2,2:19
16,20,2,14,8,1,1:20
17,1,7,19,13,20,1:20
17,2,12,18,20,19,2:19
17,3,17,16,19,18,3:18
17,4,18,11,14,17,4:17
17,5,18,15,13,16,5:16
17,6,9,16,14,15,6:15
17,7,15,17,1,14,7:14
17,8,16,10,20,13,8:13
17,9,11,19,6,12,9:12
17,10,17,12,8,11,10:11
17,11,9,4,13,10,10:11
17,12,10,15,2,9,9:12
17,13,11,5,1,8,8:13
17,14,4,6,20,7,7:14
17,15,5,12,7,6,6:15
17,16,6,3,8,5,5:16
17,17,10,3,7,4,4:17
17,18,5,4,2,3,3:18
17,19,3,9,1,2,2:19
17,20,2,14,8,1,1:20
18,1,11,19,18,20,1:20
18,2,5,14,20,19,2:19
18,3,4,13,20,18,3:18
18,4,3,12,7,17,4:17
18,5,2,13,9,16,5:16
18,6,10,14,8,15,6:15
18,7,19,15,4,14,7:14
18,8,18,16,6,13,8:13
18,9,11,17,5,12,9:12
18,10,6,12,20,11,10:11
18,11,9,15,1,10,10:11
18,12,4,10,16,9,9:12
18,13,5,3,15,8,8:13
18,14,6,2,17,7,7:14
18,15,7,11,13,6,6:15
18,16,8,19,12,5,5:16
18,17,9,18,14,4,4:17
18,18,8,17,1,3,3:18
18,19,7,16,1,2,2:19
18,20,2,10,3,1,1:20
19,1,11,19,18,20,1:20
19,2,5,14,20,19,2:19
19,3,4,13,20,18,3:18
19,4,3,12,7,17,4:17
19,5,2,13,9,16,5:16
19,6,10,14,8,15,6:15
19,7,19,15,4,14,7:14
19,8,18,16,6,13,8:13
19,9,11,17,5,12,9:12
19,10,6,12,20,11,10:11
19,11,9,15,1,10,10:11
19,12,4,10,16,9,9:12
19,13,5,3,15,8,8:13
19,14,6,2,17,7,7:14
19,15,7,11,13,6,6:15
19,16,8,19,12,5,5:16
19,17,9,18,14,4,4:17
19,18,8,17,1,3,3:18
19,19,7,16,1,2,2:19
19,20,2,10,3,1,1:20
20,1,11,19,18,20,1:20
20,2,5,14,20,19,2:19
20,3,4,13,20,18,3:18
20,4,3,12,7,17,4:17
20,5,2,13,9,16,5:16
